course_code,course_title,prereq_codes,prereq_details
PHYS 214,General Physics:  Wave Motion and Quantum Physics,"['MATH 141', 'PHYS 211', 'PHYS 212']","['and', 'and']"
PHYS 230,Introduction to Relativity,"['PHYS 212', 'MATH 141', 'MATH 220', 'MATH 230', 'MATH 231']","['and', 'or', 'and', 'or']"
PHYS 237,Introduction to Modern Physics,"['PHYS 212', 'PHYS 214']",['and']
PHYS 237H,Introduction to Modern Physics,['PHYS 212'],[]
PHYS 250,Introductory Physics I,"['MATH 22', 'MATH 26', 'MATH 41', 'MATH 81', 'MATH 82', 'MATH 140']","['and', 'or', 'or', 'or', 'or', 'or', 'or']"
PHYS 251,Introductory Physics II,"['PHYS 250', 'PHYS 211']",['or']
PHYS 296,Independent Studies,[],[]
PHYS 296H,"Study of the Historical Background, Formulation and Consequences of        Einstein's Theory of Rela",[],[]
PHYS 297,Special Topics,[],[]
PHYS 299,Foreign Studies,[],[]
PHYS 337,Introduction to Quantum Information Science and Engineering,"['MATH 220', 'PHYS 214']",['and']
PHYS 400,Intermediate Electricity and Magnetism,"['PHYS 212', 'PHYS 213', 'PHYS 214', 'MATH 250', 'MATH 251', 'MATH 230', 'MATH 231']","['and', 'and', 'and', 'or', 'and', 'or']"
PHYS 402,Electronics for Scientists,"['MATH 250', 'MATH 251', 'PHYS 212', 'PHYS 213', 'PHYS 214']","['or', 'and', 'and', 'and']"
PHYS 404,Introduction to Acoustics,"['PHYS 212', 'MATH 250', 'MATH 251']","['and', 'or']"
PHYS 406,Subatomic Physics,['PHYS 410'],[]
PHYS 410,Introduction to Quantum Mechanics I,"['MATH 250', 'MATH 251', 'MATH 230', 'MATH 231', 'PHYS 237']","['or', 'and', 'or', 'and']"
PHYS 411,Introduction to Quantum Mechanics II,['PHYS 410'],[]
PHYS 412,Solid State Physics I,"['MATH 230', 'MATH 231', 'PHYS 410']",['or']
PHYS 414,Solid State Physics,"['MATH 230', 'PHYS 237']",['and']
PHYS 419,Theoretical Mechanics,"['MATH 230', 'MATH 231', 'MATH 250', 'MATH 251', 'PHYS 212', 'PHYS 213', 'PHYS 214']","['or', 'and', 'or', 'and', 'and', 'and']"
PHYS 420,Thermal Physics,"['MATH 250', 'MATH 251', 'MATH 230', 'MATH 231', 'PHYS 237']","['or', 'and', 'or', 'and']"
PHYS 421W,Research Methods in Physics,['PHYS 237'],[]
PHYS 430,Introduction to Computational Physics,"['CMPSC 200', 'CMPSC 201', 'CMPSC 121', 'CMPSC 131', 'MATH 230', 'MATH 231', 'MATH 250', 'MATH 251', 'PHYS 237', 'PHYS 420']","['or', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'or']"
PHYS 437,Physical implementation of qubits,['PHYS 337'],[]
PHYS 444,Topics in Contemporary Physics,['PHYS 237'],[]
PHYS 457W,Experimental Physics,"['PHYS 212', 'PHYS 213', 'PHYS 214', 'PHYS 237']","['and', 'and', 'and']"
PHYS 458,Intermediate Optics,"['PHYS 212', 'PHYS 213', 'PHYS 214', 'MATH 250', 'MATH 251', 'MATH 230', 'MATH 231']","['and', 'and', 'and', 'or', 'and', 'or']"
PHYS 462,Applications of Physics in Medicine,"['PHYS 211', 'PHYS 250']",['or']
PHYS 465,Network analysis of biological systems,"['MATH 140', 'BIOL 230W', 'BMB 251', 'BME 201', 'MATH 140B', 'MATH 141B', 'MATH 297']","['or', 'or', 'or', 'or', 'or']"
PHYS 472,Elements of Nuclear Physics and its Applications to Medical Imaging and    Treatments,"['PHYS 211', 'PHYS 212', 'PHYS 213', 'PHYS 214', 'PHYS 237']","['and', 'and', 'and', 'and']"
PHYS 479,Special and General Relativity,"['PHYS 237', 'PHYS 400', 'PHYS 419', 'MATH 250', 'MATH 251', 'MATH 230', 'MATH 231']","['and', 'and', 'and', 'or', 'and', 'or']"
PHYS 494,Physics Research Project,[],[]
PHYS 494H,Physics Research Project,[],[]
PHYS 495,Internship,[],[]
PHYS 496,Independent Studies,[],[]
PHYS 496H,Independent Studies,[],[]
PHYS 497,Special Topics,[],[]
PHYS 499,Foreign Studies,[],[]
ENGL 2,The Great Traditions in English Literature,[],[]
ENGL 4,Basic Writing Skills,[],[]
ENGL 5,Writing Tutorial,[],[]
ENGL 6,Creative Writing Common Time,[],[]
ENGL 10,Group Writing Tutorial,['ENGL 15'],[]
ENGL 15,Rhetoric and Composition,[],[]
ENGL 15A,Rhetoric and Composition,[],[]
ENGL 15E,Rhetoric and Composition Enhanced,[],[]
ENGL 15S,Rhetoric and Composition,[],[]
ENGL 30H,Honors Rhetoric and Composition,[],[]
ENGL 30T,Honors Freshman Composition First-Year Seminar,[],[]
ENGL 50,Introduction to Creative Writing,[],[]
ENGL 50H,Introduction to Creative Writing,[],[]
ENGL 83S,First-Year Seminar in English,[],[]
ENGL 97,Special Topics,[],[]
ENGL 98,Special Topics,[],[]
ENGL 100,English Language Analysis,[],[]
ENGL 101,Introduction to Literature,[],[]
ENGL 103,The Great Traditions in American Literature,[],[]
ENGL 104,The Bible as Literature,['JST 104'],[]
ENGL 105,American Popular Culture and Folklife,['AMST 105'],[]
ENGL 106,The Lynd Ward Graphic Novel Prize,[],[]
ENGL 108N,Buddhism and US Society,"['RLST 105N', 'SOC 130N']",[]
ENGL 110,Newswriting Practicum,[],[]
ENGL 111,The Possibilities of English,[],[]
ENGL 114,Modern Pagan Traditions and Texts,[],[]
ENGL 115N,Arts of Love,['ARTH 115N'],[]
ENGL 118,Music and Literature,[],[]
ENGL 120,Difference in Early Literature,[],[]
ENGL 124,"Legal Fictions: Law, Justice, Literature",[],[]
ENGL 125,On the Farm: Agriculture and Literature,[],[]
ENGL 126,Bad Literature,[],[]
ENGL 128N,The Holocaust in Film and Literature,"['CMLIT 128N', 'GER 128N', 'JST 128N']",[]
ENGL 129,Shakespeare,[],[]
ENGL 129H,Shakespeare,[],[]
ENGL 130,Reading Popular Texts,[],[]
ENGL 131,Weird Tales: Literature of Horror and the Supernatural,[],[]
ENGL 132,Jewish American Literature,['JST 132'],[]
ENGL 133,Modern American Literature to World War II,[],[]
ENGL 134,American Comedy,['AMST 134'],[]
ENGL 135,Alternative Voices in American Literature,['AMST 135'],[]
ENGL 136,The Graphic Novel,[],[]
ENGL 137H,Rhetoric and Civic Life I,['CAS 137H'],[]
ENGL 138T,Rhetoric and Civic Life II,"['ENGL 137H', 'CAS 137H']",['or']
ENGL 139,African American Literature,['AFAM 139'],[]
ENGL 140,Contemporary Literature,[],[]
ENGL 140H,Contemporary Literature - Honors,[],[]
ENGL 141N,African American Read-In Engaged Learning Experience,"['AFAM 141N', 'INART 141N']",[]
ENGL 142N,Science in Literature,['SC 142N'],[]
ENGL 144,Everyday Rhetoric,[],[]
ENGL 145,Modern Irish Literature,[],[]
ENGL 161N,The Pursuit of Happiness in American Life: Historical Literature and Modern Practice,['HIST 162N'],[]
ENGL 162N,Communicating Care,"['CAS 162N', 'SOC 162N']",[]
ENGL 163N,Defining the Animal,[],[]
ENGL 165N,Work and Literature,['LHR 165N'],[]
ENGL 170N,Introduction to American Folklore,['AMST 170N'],[]
ENGL 179,Exploring the Literature of Food: Current Trends in American Food Writing  and Environmentalism,[],[]
ENGL 180,Literature and the Natural World,[],[]
ENGL 181A,Adventure Literature: Exploring the Chesapeake Bay,[],[]
ENGL 181B,Adventure Literature: Exploring Cape Cod,[],[]
ENGL 181C,The Beach: Exploring the Literature of the Atlantic Shore,[],[]
ENGL 181D,Adventure Literature: Exploring the Literature of American Wilderness,[],[]
ENGL 182,Literature and Empire,[],[]
ENGL 182A,Literature and Empire,[],[]
ENGL 182C,Literature and Empire,[],[]
ENGL 183,Adventure Literature,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 183N,"The Cold War in Literature, Politics, and History",['PLSC 183N'],[]
ENGL 184,The Short Story,['CMLIT 184'],[]
ENGL 185,World Novel,['CMLIT 185'],[]
ENGL 188,Young Adult Literature (YA),[],[]
ENGL 190Q,Medievalism,['INART 203Q'],[]
ENGL 191,Science Fiction,[],[]
ENGL 192,The Literature of Fantasy,[],[]
ENGL 193N,The Craft of Comics,['AA 193N'],[]
ENGL 194,Women Writers,['WMNST 194'],[]
ENGL 194H,Women Writers - Honors,[],[]
ENGL 197,Special Topics,[],[]
ENGL 198,Special Topics,[],[]
ENGL 199,Foreign Study--English,[],[]
ENGL 200,Introduction to Critical Reading,[],[]
ENGL 200H,Introduction to Critical Reading,[],[]
ENGL 200W,Introduction to Critical Reading,[],[]
ENGL 201,What is Literature,[],[]
ENGL 201H,What is Literature,[],[]
ENGL 202A,Effective Writing: Writing in the Social Sciences,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'and']"
ENGL 202B,Effective Writing: Writing in the Humanities,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'and']"
ENGL 202C,Effective Writing: Technical Writing,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'and']"
ENGL 202D,Effective Writing: Business Writing,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['and', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 202H,Effective Writing: Honors,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['and', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 205,Children's Literature,[],[]
ENGL 206,Business and Literature,[],[]
ENGL 208N,The Music of the Beatles and American Popular Culture,['MUSIC 209N'],[]
ENGL 209,Journal or Magazine Practicum,[],[]
ENGL 210,The Process of Writing,[],[]
ENGL 211,Introduction to Writing Studies,[],[]
ENGL 211W,Introduction to Writing Studies,[],[]
ENGL 212,Introduction to Fiction Writing,[],[]
ENGL 213,Introduction to Poetry Writing,[],[]
ENGL 214,Introduction to Creative Nonfiction Writing,[],[]
ENGL 215,Introduction to General Nonfiction Writing,[],[]
ENGL 221,British Literature to 1798,[],[]
ENGL 221W,British Literature to 1798,[],[]
ENGL 222,British Literature from 1798,[],[]
ENGL 222W,British Literature from 1798,[],[]
ENGL 223N,"Shakespeare: Page, Stage, and Screen",[],[]
ENGL 224N,Authors and Artists,['ARTH 224N'],[]
ENGL 225N,Sexuality and Modern Visual Culture,"['ARTH 225N', 'WMNST 225N']",[]
ENGL 226,Latina  and Latino Border Theories,['LTNST 226'],[]
ENGL 227,Introduction to Queer Theory,['WMNST 227'],[]
ENGL 228,Introduction to Disability Studies in the Humanities,[],[]
ENGL 229,Digital Studies,[],[]
ENGL 231,American Literature to 1865,[],[]
ENGL 231Y,American Literature to 1865,[],[]
ENGL 232,American Literature from 1865,[],[]
ENGL 232Y,American Literature from 1865,[],[]
ENGL 233N,Chemistry and Literature,['CHEM 233N'],[]
ENGL 234,"Sports, Ethics, and Literature",[],[]
ENGL 235,From Folk Shouts and Songs to Hip Hop Poetry,['AFAM 235'],[]
ENGL 236N,"Inequality: Economics, Philosophy, Literature",[],[]
ENGL 237N,Reading and Writing Documentary Poetry,[],[]
ENGL 240,Exploring Literary Traditions,[],[]
ENGL 245,Introduction to LGBTQ Studies,['WMNST 245'],[]
ENGL 250,Peer Tutoring in Writing,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 260,Theory & Practice of Screenwriting,[],[]
ENGL 261,Exploring Literary Forms,[],[]
ENGL 262,Reading Fiction,[],[]
ENGL 263,Reading Poetry,[],[]
ENGL 265,Reading Nonfiction,[],[]
ENGL 268,Reading Drama,[],[]
ENGL 281,Television Script Writing,[],[]
ENGL 294,Research Topics,[],[]
ENGL 296,Independent Studies,[],[]
ENGL 297,Special Topics,[],[]
ENGL 299,Foreign Studies,[],[]
ENGL 312,Globality and Literature,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'ENGL 138T']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'and']"
ENGL 395,Internship,[],[]
ENGL 397,Special Topics,[],[]
ENGL 399,Foreign Study--English,[],[]
ENGL 400,"Authors, Texts, Contexts","['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 401,Studies in Genre,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 401W,Creative Writing Theory,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 402,Literature and Society,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 403,Literature and Culture,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 404,"Mapping Identity, Difference, and Place","['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 405,Taking Shakespeare From Page to Stage,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 406M,Honors Course in English: General Topic in Recent Literature,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'ENGL 138T']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'and']"
ENGL 407,History of the English Language,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 408M,Honors Seminar in English: General Topic in Post-1800 Literature,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'ENGL 138T']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'and']"
ENGL 410,Advanced TV Script Writing,['ENGL 281'],[]
ENGL 411M,Honors Seminar in English: Creative Writing,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'ENGL 138T']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'and']"
ENGL 412,Advanced Fiction Writing,"['ENGL 212', 'ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['and', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 413,Advanced Poetry Writing,"['ENGL 213', 'ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['and', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 414,Biographical Writing,"['ENGL 214', 'ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'ENGL 138T']","['and', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'and']"
ENGL 415,Advanced Nonfiction Writing,"['ENGL 212', 'ENGL 215', 'ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'ENGL 138T']","['or', 'and', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'and']"
ENGL 416,Science Writing,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 417,The Editorial Process,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 418,Advanced Technical Writing and Editing,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 419,Advanced Business Writing,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 420,Writing for the Web,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 421,Advanced Expository Writing,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 422,Fiction Workshop,['ENGL 412'],[]
ENGL 424,Creative Writing and the Natural World,"['ENGL 50', 'ENVST 100N']",['or']
ENGL 426,"Chicana and Chicano Cultural Production: Literature, Film, Music","['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 427,Topics in Jewish American Literature,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 428,Asian American Literatures,['ASIA 428'],[]
ENGL 429,New Media and Literature,['CMLIT 429'],[]
ENGL 430,The American Renaissance,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 431,Black American Writers,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 432,The American Novel to 1900,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 433,The American Novel: 1900-1945,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 434,Topics in American Literature,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 435,The American Short Story,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 436,American Fiction Since 1945,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 437,The Poet in America,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 439,American Nonfiction Prose,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 440,Studies in Shakespeare,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 441,Chaucer,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 442,Medieval English Literature,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 443,The English Renaissance,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 444,Shakespeare,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 445,Shakespeare's Contemporaries,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 446,Milton,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 447,The Restoration and the Eighteenth Century,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 448,The English Novel to Jane Austen,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 449M,Honors Seminar in English: Pre-1800s literature,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 450,The Romantics,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 451,Literary Modernism in English,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 452,The Victorians,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 453,Victorian Novel,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 454,Modern British and Irish Drama,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 455,Topics in British Literature,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 456,"British Fiction, 1900-1945","['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 457,British Fiction Since 1945,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 458,Twentieth-Century Poetry,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
